私 | Tôi / わたし
汚す | Làm bẩn / よごす
壊れる | Bị hỏng / こわれる
直す | Sửa chữa / なおす
捕まえる | Bắt (tội phạm, trộm) / つかまえる
見つかる | Tìm thấy / みつかる
助ける | Giúp đỡ, cứu / たすける
褒める | Khen ngợi / ほめる
叱る | Mắng mỏ / しかる
誘う | Mời mọc, rủ rê / さそう
招待する | Mời (trang trọng) / しょうたいする
頼む | Nhờ vả / たのむ
注意する | Chú ý / ちゅういする
信じる | Tin tưởng / しんじる
断る | Từ chối / ことわる
嘘をつく | Nói dối / うそをつく
震える | Run rẩy / ふるえる
驚く | Ngạc nhiên / おどろく
笑う | Cười / わらう
泣く | Khóc / なく
怒る | Tức giận / おこる
喜ぶ | Vui mừng / よろこぶ
北 | Bắc / きた
南 | Nam / みなみ
東 | Đông / ひがし
西 | Tây / にし
真ん中 | Ở chính giữa / まんなか
隅 | Góc (phòng, túi) / すみ
端 | Rìa, mép / はし
半分 | Một nửa / はんぶん
空気 | Không khí / くうき
太陽 | Mặt trời / たいよう
月 | Mặt trăng / つき
星 | Ngôi sao / ほし
空 | Bầu trời / そら
海 | Biển / うみ
世界 | Thế giới / せかい
火 | Lửa / ひ
光 | Ánh sáng / ひかり
音 | Âm thanh / おと
声 | Tiếng (người, động vật) / こえ
匂い | Mùi / におi
授業 | Tiết học, giờ học / じゅぎょう
講義 | Bài giảng / こうぎ
作文 | Bài văn, đoạn văn / さくぶん
文章 | Văn bản, bài viết / ぶんしょう
辞書 | Từ điển / じしょ
意味 | Ý nghĩa / いみ 
言葉 | Từ vựng, lời nói / ことば
教科書 | Sách giáo khoa / きょうかしょ
問題 | Vấn đề, câu hỏi (bài tập) / もんだい [cite: 57]
答え | Câu trả lời / こたえ
易しい | Dễ / やさしい 
難しい | Khó / むずかしい 
強い | Mạnh / つよい [cite: 53]
弱い | Yếu / よわい
暗い | Tối / くらい
明るい | Sáng / あかるい
重い | Nặng / おもい 
軽い | Nhẹ / かるい 
狭い | Hẹp / せまい 
広い | Rộng / ひろい 
高い | Cao, đắt / たかい [cite: 62, 67]
安い | Rẻ / やすい 
大体 | Đại khái / だいたい [cite: 77]
全部 | Toàn bộ / ぜんぶ [cite: 136]
半分 | Một nửa / はんぶん
大抵 | Thông thường / たいてい
時々 | Thỉnh thoảng / ときどき [cite: 77]
全然 | Hoàn toàn không (đi với phủ định) / ぜんぜん [cite: 77]
初めて | Lần đầu tiên / はじめて [cite: 77]
もう一度 | Một lần nữa / もういちど
ゆっくり | Thong thả, chậm rãi / ゆっくり
そろそろ | Sắp sửa / そろそろ [cite: 77]
一生懸命 | Hết sức mình / いっしょうけんめい
大丈夫 | Không sao, ổn / だいじょうぶ
残念 | Đáng tiếc / ざんねん [cite: 77]
本当 | Sự thật / ほんとう
一 | Một / いち
二 | Hai / に
三 | Ba / さん
四 | Bốn / し / よん
五 | Năm / ご
六 | Sáu / ろく
七 | Bảy / しち / なな
八 | Tám / はち
九 | Chín / きゅう / く
十 | Mười / じゅう
二十 | Hai mươi / にじゅう
二十歳 | Hai mươi tuổi (đặc biệt) / はたち
一人 | Một người / ひとり
二人 | Hai người / ふたり
三人 | Ba người / さんにん
四人 | Bốn người (đặc biệt) / よにん
一つ | Một cái / ひとつ
二つ | Hai cái / ふたつ
三つ | Ba cái / みっつ
四つ | Bốn cái / よっつ
五つ | Năm cái / いつつ
六つ | Sáu cái / むっつ
七つ | Bảy cái / ななつ
八つ | Tám cái / やっつ
九つ | Chín cái / ここのつ
十 | Mười cái / とお
一日 | Ngày mồng 1 / ついたち
二日 | Ngày mồng 2 / ふつか
三日 | Ngày mồng 3 / みっか
四日 | Ngày mồng 4 / よっka
五日 | Ngày mồng 5 / いつか
六日 | Ngày mồng 6 / むいか
七日 | Ngày mồng 7 / なのか
八日 | Ngày mồng 8 / ようか
九日 | Ngày mồng 9 / ここのか
十日 | Ngày mồng 10 / とおか
